Deque A
clock: 127	program id:   8 	execution time:   4 	time left:   4 	priority:  54 	wait time: 127
clock: 131	program id:  24 	execution time:   3 	time left:   3 	priority:  54 	wait time: 131
clock: 134	program id:  34 	execution time:   4 	time left:   4 	priority:  64 	wait time: 134
clock: 138	program id:  36 	execution time:   5 	time left:   5 	priority:  62 	wait time: 138
clock: 143	program id:  37 	execution time:   4 	time left:   4 	priority:  58 	wait time: 143
clock: 147	program id:  38 	execution time:   1 	time left:   1 	priority:  50 	wait time: 147
clock: 148	program id:  39 	execution time:   5 	time left:   5 	priority:  52 	wait time: 148
clock: 153	program id:  41 	execution time:   1 	time left:   1 	priority:  50 	wait time: 153
clock: 154	program id:  43 	execution time:   2 	time left:   2 	priority:  49 	wait time: 154
clock: 156	program id:  45 	execution time:   2 	time left:   2 	priority:  49 	wait time: 156
clock: 158	program id:  46 	execution time:   4 	time left:   4 	priority:  53 	wait time: 158
clock: 162	program id:  48 	execution time:   1 	time left:   1 	priority:  60 	wait time: 162
Total Wait Time: 4285.0
Average Wait Time: 85.7

